"Article","Number of tweets","Number of tweets(in thousands)","Date"
"deadly","2018","3","04/20/2020"
"late","2016","3","04/20/2020"
"kind","2013","3","04/20/2020"
"handling","2011","3","04/20/2020"
"zu","2011","3","04/20/2020"
"bring","2009","3","04/20/2020"
"education","2009","3","04/20/2020"
"pra","2008","3","04/20/2020"
"cure","2007","3","04/20/2020"
"results","2007","3","04/20/2020"
"ke","2004","3","04/20/2020"
"guys","2003","3","04/20/2020"
"source","2002","3","04/20/2020"
"office","1996","2","04/20/2020"
"area","1996","2","04/20/2020"
"immunity","1995","2","04/20/2020"
"along","1993","2","04/20/2020"
"finally","1992","2","04/20/2020"
"vamos","1991","2","04/20/2020"
"single","1990","2","04/20/2020"
"funds","1990","2","04/20/2020"
"nueva","1983","2","04/20/2020"
"head","1980","2","04/20/2020"
"nearly","1980","2","04/20/2020"
"rise","1980","2","04/20/2020"
"name","1979","2","04/20/2020"
"term","1977","2","04/20/2020"
"pelosi","1974","2","04/20/2020"
"ont","1973","2","04/20/2020"
"buy","1970","2","04/20/2020"
"iran","1969","2","04/20/2020"
"cut","1968","2","04/20/2020"
"leading","1962","2","04/20/2020"
"san","1954","2","04/20/2020"
"lack","1953","2","04/20/2020"
"comment","1951","2","04/20/2020"
"though","1951","2","04/20/2020"
"contagiados","1950","2","04/20/2020"
"ensure","1943","2","04/20/2020"
"tips","1943","2","04/20/2020"
"situación","1943","2","04/20/2020"
"cuomo","1942","2","04/20/2020"
"killing","1939","2","04/20/2020"
"up","1937","2","04/20/2020"
"calling","1935","2","04/20/2020"
"और","1933","2","04/20/2020"
"lead","1931","2","04/20/2020"
"ppl","1926","2","04/20/2020"
"rules","1923","2","04/20/2020"
"active","1922","2","04/20/2020"
"coronavirusupdate","1917","2","04/20/2020"
"worth","1917","2","04/20/2020"
"date","1915","2","04/20/2020"
"absolutely","1915","2","04/20/2020"
"university","1911","2","04/20/2020"
"trust","1911","2","04/20/2020"
"gates","1911","2","04/20/2020"
"huge","1904","2","04/20/2020"
"outside","1901","2","04/20/2020"
"center","1901","2","04/20/2020"
"dangerous","1901","2","04/20/2020"
"blog","1901","2","04/20/2020"
"contagio","1900","2","04/20/2020"
"learning","1898","2","04/20/2020"
"ao","1898","2","04/20/2020"
"pmoindia","1892","2","04/20/2020"
"threat","1892","2","04/20/2020"
"parents","1889","2","04/20/2020"
"schools","1887","2","04/20/2020"
"leave","1887","2","04/20/2020"
"seriously","1886","2","04/20/2020"
"wonder","1886","2","04/20/2020"
"details","1886","2","04/20/2020"
"proud","1885","2","04/20/2020"
"announced","1875","2","04/20/2020"
"thinking","1875","2","04/20/2020"
"guidelines","1873","2","04/20/2020"
"cover","1872","2","04/20/2020"
"answer","1871","2","04/20/2020"
"hate","1868","2","04/20/2020"
"mr","1868","2","04/20/2020"
"came","1864","2","04/20/2020"
"tiempos","1864","2","04/20/2020"
"politics","1863","2","04/20/2020"
"guy","1863","2","04/20/2020"
"favor","1858","2","04/20/2020"
"lockdowns","1858","2","04/20/2020"
"noticias","1857","2","04/20/2020"
"running","1856","2","04/20/2020"
"responsible","1855","2","04/20/2020"
"lie","1854","2","04/20/2020"
"dari","1851","2","04/20/2020"
"john","1847","2","04/20/2020"
"parte","1846","2","04/20/2020"
"amazing","1846","2","04/20/2020"
"spain","1845","2","04/20/2020"
"evitar","1843","2","04/20/2020"
"mind","1836","2","04/20/2020"
"cas","1835","2","04/20/2020"
"merkel","1834","2","04/20/2020"
"co","1833","2","04/20/2020"
"website","1833","2","04/20/2020"
"happening","1833","2","04/20/2020"
"della","1832","2","04/20/2020"
"allah","1831","2","04/20/2020"
"program","1829","2","04/20/2020"
"vs","1823","2","04/20/2020"
"men","1820","2","04/20/2020"
"donate","1819","2","04/20/2020"
"90","1816","2","04/20/2020"
"tout","1814","2","04/20/2020"
"semana","1813","2","04/20/2020"
"game","1811","2","04/20/2020"
"kita","1810","2","04/20/2020"
"evidence","1809","2","04/20/2020"
"whitehouse","1809","2","04/20/2020"
"27","1807","2","04/20/2020"
"datos","1806","2","04/20/2020"
"matter","1806","2","04/20/2020"
"indian","1805","2","04/20/2020"
"security","1805","2","04/20/2020"
"dia","1805","2","04/20/2020"
"fall","1802","2","04/20/2020"
"created","1802","2","04/20/2020"
"asked","1801","2","04/20/2020"
"site","1795","2","04/20/2020"
"record","1794","2","04/20/2020"
"nytimes","1791","2","04/20/2020"
"keeping","1790","2","04/20/2020"
"special","1790","2","04/20/2020"
"frontline","1788","2","04/20/2020"
"scientists","1787","2","04/20/2020"
"pays","1786","2","04/20/2020"
"horas","1785","2","04/20/2020"
"california","1782","2","04/20/2020"
"drug","1780","2","04/20/2020"
"von","1778","2","04/20/2020"
"staying","1775","2","04/20/2020"
"washington","1774","2","04/20/2020"
"cash","1773","2","04/20/2020"
"lunes","1771","2","04/20/2020"
"kits","1770","2","04/20/2020"
"heard","1769","2","04/20/2020"
"cette","1769","2","04/20/2020"
"director","1767","2","04/20/2020"
"asking","1767","2","04/20/2020"
"5g","1766","2","04/20/2020"
"tan","1766","2","04/20/2020"
"major","1765","2","04/20/2020"
"nacional","1765","2","04/20/2020"
"he","1764","2","04/20/2020"
"கள","1763","2","04/20/2020"
"paid","1758","2","04/20/2020"
"david","1757","2","04/20/2020"
"speakerpelosi","1756","2","04/20/2020"
"supplies","1756","2","04/20/2020"
"mortes","1756","2","04/20/2020"
"period","1754","2","04/20/2020"
"guess","1754","2","04/20/2020"
"protection","1752","2","04/20/2020"
"positivos","1752","2","04/20/2020"
"failed","1749","2","04/20/2020"
"common","1745","2","04/20/2020"
"confinamiento","1745","2","04/20/2020"
"después","1744","2","04/20/2020"
"step","1743","2","04/20/2020"
"wuhanvirus","1743","2","04/20/2020"
"trabajo","1742","2","04/20/2020"
"sent","1737","2","04/20/2020"
"fait","1736","2","04/20/2020"
"tras","1734","2","04/20/2020"
"coronavirus","304686","305","04/18/2020"
"covid","174264","175","04/18/2020"
"19","162115","163","04/18/2020"
"covid19","149967","150","04/18/2020"
"nan","83809","84","04/18/2020"
"people","44859","45","04/18/2020"
"amp","39549","40","04/18/2020"
"trump","37046","38","04/18/2020"
"via","35289","36","04/18/2020"
"cases","30713","31","04/18/2020"
"us","30128","31","04/18/2020"
"new","28728","29","04/18/2020"
"pandemic","28138","29","04/18/2020"
"virus","27157","28","04/18/2020"
"china","25098","26","04/18/2020"
"one","25023","26","04/18/2020"
"deaths","22795","23","04/18/2020"
"world","22683","23","04/18/2020"
"news","22422","23","04/18/2020"
"like","22279","23","04/18/2020"
"get","20929","21","04/18/2020"
"home","19143","20","04/18/2020"
"lockdown","18649","19","04/18/2020"
"covid_19","18592","19","04/18/2020"
"realdonaldtrump","17957","18","04/18/2020"
"000","17868","18","04/18/2020"
"health","17752","18","04/18/2020"
"time","16906","17","04/18/2020"
"di","16333","17","04/18/2020"
"help","16159","17","04/18/2020"
"crisis","15586","16","04/18/2020"
"death","15461","16","04/18/2020"
"si","15250","16","04/18/2020"
"would","15154","16","04/18/2020"
"need","14878","15","04/18/2020"
"know","14588","15","04/18/2020"
"et","13543","14","04/18/2020"
"il","13109","14","04/18/2020"
"government","12971","13","04/18/2020"
"please","12930","13","04/18/2020"
"2020","12751","13","04/18/2020"
"see","12737","13","04/18/2020"
"may","12527","13","04/18/2020"
"go","12226","13","04/18/2020"
"testing","12201","13","04/18/2020"
"could","12156","13","04/18/2020"
"many","12131","13","04/18/2020"
"des","11657","12","04/18/2020"
"die","11525","12","04/18/2020"
"stay","11461","12","04/18/2020"
"good","11436","12","04/18/2020"
"country","11175","12","04/18/2020"
"still","11018","12","04/18/2020"
"corona","11007","12","04/18/2020"
"casos","10983","11","04/18/2020"
"state","10970","11","04/18/2020"
"even","10965","11","04/18/2020"
"da","10876","11","04/18/2020"
"18","10860","11","04/18/2020"
"workers","10606","11","04/18/2020"
"make","10589","11","04/18/2020"
"per","10587","11","04/18/2020"
"day","10525","11","04/18/2020"
"says","10505","11","04/18/2020"
"test","10487","11","04/18/2020"
"going","10447","11","04/18/2020"
"india","10439","11","04/18/2020"
"total","10335","11","04/18/2020"
"work","10271","11","04/18/2020"
"right","10200","11","04/18/2020"
"the","10193","11","04/18/2020"
"est","10182","11","04/18/2020"
"du","10092","11","04/18/2020"
"live","9973","10","04/18/2020"
"positive","9906","10","04/18/2020"
"care","9890","10","04/18/2020"
"think","9876","10","04/18/2020"
"due","9807","10","04/18/2020"
"na","9734","10","04/18/2020"
"let","9636","10","04/18/2020"
"spread","9589","10","04/18/2020"
"patients","9568","10","04/18/2020"
"take","9564","10","04/18/2020"
"fight","9493","10","04/18/2020"
"uk","9458","10","04/18/2020"
"want","9396","10","04/18/2020"
"support","9325","10","04/18/2020"
"social","9271","10","04/18/2020"
"well","9265","10","04/18/2020"
"20","9242","10","04/18/2020"
"president","9060","10","04/18/2020"
"re","9060","10","04/18/2020"
"back","9047","10","04/18/2020"
"say","9038","10","04/18/2020"
"today","9037","10","04/18/2020"
"also","8864","9","04/18/2020"
"first","8727","9","04/18/2020"
"times","8698","9","04/18/2020"
"said","8424","9","04/18/2020"
"pour","8392","9","04/18/2020"
"10","8339","9","04/18/2020"
"wuhan","8245","9","04/18/2020"
"died","8140","9","04/18/2020"
"way","8097","9","04/18/2020"
"much","8059","9","04/18/2020"
"hospital","8050","9","04/18/2020"
"tests","8018","9","04/18/2020"
"april","7948","8","04/18/2020"
"really","7859","8","04/18/2020"
"states","7810","8","04/18/2020"
"stop","7733","8","04/18/2020"
"pandemia","7724","8","04/18/2020"
"read","7664","8","04/18/2020"
"outbreak","7617","8","04/18/2020"
"youtube","7557","8","04/18/2020"
"america","7539","8","04/18/2020"
"must","7535","8","04/18/2020"
"response","7523","8","04/18/2020"
"man","7511","8","04/18/2020"
"dr","7445","8","04/18/2020"
"pas","7258","8","04/18/2020"
"together","7144","8","04/18/2020"
"thank","7126","8","04/18/2020"
"great","7112","8","04/18/2020"
"lives","7089","8","04/18/2020"
"life","7032","8","04/18/2020"
"come","6978","7","04/18/2020"
"every","6974","7","04/18/2020"
"daily","6909","7","04/18/2020"
"days","6872","7","04/18/2020"
"public","6871","7","04/18/2020"
"stayhome","6803","7","04/18/2020"
"made","6776","7","04/18/2020"
"keep","6748","7","04/18/2020"
"non","6715","7","04/18/2020"
"number","6694","7","04/18/2020"
"hope","6660","7","04/18/2020"
"global","6647","7","04/18/2020"
"million","6555","7","04/18/2020"
"em","6513","7","04/18/2020"
"au","6344","7","04/18/2020"
"americans","6341","7","04/18/2020"
"gobierno","6328","7","04/18/2020"
"year","6311","7","04/18/2020"
"to","6303","7","04/18/2020"
"family","6264","7","04/18/2020"
"vaccine","6215","7","04/18/2020"
"usa","6206","7","04/18/2020"
"true","6182","7","04/18/2020"
"got","6172","7","04/18/2020"
"money","6158","7","04/18/2020"
"real","6148","7","04/18/2020"
"last","6139","7","04/18/2020"
"face","6108","7","04/18/2020"
"never","6100","7","04/18/2020"
"chinese","6082","7","04/18/2020"
"medical","6067","7","04/18/2020"
"data","5992","6","04/18/2020"
"media","5988","6","04/18/2020"
"flu","5935","6","04/18/2020"
"latest","5927","6","04/18/2020"
"thanks","5907","6","04/18/2020"
"video","5906","6","04/18/2020"
"vía","5894","6","04/18/2020"
"everyone","5882","6","04/18/2020"
"dan","5852","6","04/18/2020"
"economy","5819","6","04/18/2020"
"safe","5815","6","04/18/2020"
"god","5814","6","04/18/2020"
"une","5774","6","04/18/2020"
"watch","5763","6","04/18/2020"
"amid","5729","6","04/18/2020"
"check","5697","6","04/18/2020"
"com","5661","6","04/18/2020"
"app","5650","6","04/18/2020"
"look","5639","6","04/18/2020"
"tested","5611","6","04/18/2020"
"toll","5605","6","04/18/2020"
"24","5578","6","04/18/2020"
"another","5550","6","04/18/2020"
"open","5499","6","04/18/2020"
"florida","5470","6","04/18/2020"
"update","5466","6","04/18/2020"
"post","5424","6","04/18/2020"
"without","5414","6","04/18/2020"
"confirmed","5412","6","04/18/2020"
"article","5409","6","04/18/2020"
"business","5408","6","04/18/2020"
"free","5369","6","04/18/2020"
"use","5321","6","04/18/2020"
"ser","5286","6","04/18/2020"
"salud","5282","6","04/18/2020"
"week","5272","6","04/18/2020"
"mundo","5272","6","04/18/2020"
"staff","5220","6","04/18/2020"
"since","5217","6","04/18/2020"
"better","5204","6","04/18/2020"
"countries","5198","6","04/18/2020"
"show","5187","6","04/18/2020"
"gt","5176","6","04/18/2020"
"togetherathome","5175","6","04/18/2020"
"two","5142","6","04/18/2020"
"twitter","5141","6","04/18/2020"
"long","5134","6","04/18/2020"
"weeks","5132","6","04/18/2020"
"sur","5132","6","04/18/2020"
"ca","5117","6","04/18/2020"
"quarantine","5111","6","04/18/2020"
"case","5098","6","04/18/2020"
"qui","5094","6","04/18/2020"
"far","5059","6","04/18/2020"
"end","5044","6","04/18/2020"
"risk","5037","6","04/18/2020"
"não","5033","6","04/18/2020"
"food","5023","6","04/18/2020"
"15","5006","6","04/18/2020"
"rate","4994","5","04/18/2020"
"getting","4989","5","04/18/2020"
"mais","4956","5","04/18/2020"
"others","4946","5","04/18/2020"
"masks","4945","5","04/18/2020"
"dans","4933","5","04/18/2020"
"give","4923","5","04/18/2020"
"love","4913","5","04/18/2020"
"in","4866","5","04/18/2020"
"lab","4844","5","04/18/2020"
"working","4844","5","04/18/2020"
"ppe","4843","5","04/18/2020"
"17","4834","5","04/18/2020"
"distancing","4798","5","04/18/2020"
"plus","4786","5","04/18/2020"
"york","4783","5","04/18/2020"
"govt","4774","5","04/18/2020"
"done","4771","5","04/18/2020"
"call","4765","5","04/18/2020"
"needs","4753","5","04/18/2020"
"ne","4753","5","04/18/2020"
"around","4744","5","04/18/2020"
"disease","4723","5","04/18/2020"
"numbers","4721","5","04/18/2020"
"thing","4668","5","04/18/2020"
"next","4656","5","04/18/2020"
"país","4646","5","04/18/2020"
"30","4644","5","04/18/2020"
"casa","4643","5","04/18/2020"
"ce","4611","5","04/18/2020"
"che","4591","5","04/18/2020"
"100","4584","5","04/18/2020"
"best","4567","5","04/18/2020"
"va","4548","5","04/18/2020"
"doctors","4532","5","04/18/2020"
"cuarentena","4524","5","04/18/2020"
"yet","4490","5","04/18/2020"
"infected","4410","5","04/18/2020"
"personas","4399","5","04/18/2020"
"already","4398","5","04/18/2020"
"nothing","4393","5","04/18/2020"
"gente","4393","5","04/18/2020"
"put","4376","5","04/18/2020"
"nhs","4369","5","04/18/2020"
"job","4329","5","04/18/2020"
"and","4300","5","04/18/2020"
"kyari","4294","5","04/18/2020"
"updates","4270","5","04/18/2020"
"part","4268","5","04/18/2020"
"anyone","4249","5","04/18/2020"
"españa","4249","5","04/18/2020"
"story","4242","5","04/18/2020"
"reported","4236","5","04/18/2020"
"dead","4224","5","04/18/2020"
"ve","4215","5","04/18/2020"
"report","4214","5","04/18/2020"
"big","4202","5","04/18/2020"
"nigeria","4189","5","04/18/2020"
"50","4187","5","04/18/2020"
"par","4176","5","04/18/2020"
"away","4173","5","04/18/2020"
"um","4173","5","04/18/2020"
"je","4167","5","04/18/2020"
"american","4153","5","04/18/2020"
"covidー19","4129","5","04/18/2020"
"plan","4126","5","04/18/2020"
"believe","4098","5","04/18/2020"
"bad","4095","5","04/18/2020"
"sure","4086","5","04/18/2020"
"old","4064","5","04/18/2020"
"12","4040","5","04/18/2020"
"find","4040","5","04/18/2020"
"enough","4036","5","04/18/2020"
"coronaviruspandemic","4032","5","04/18/2020"
"top","4021","5","04/18/2020"
"solo","4013","5","04/18/2020"
"france","4005","5","04/18/2020"
"recovered","4003","5","04/18/2020"
"abba","3994","4","04/18/2020"
"things","3979","4","04/18/2020"
"online","3979","4","04/18/2020"
"years","3977","4","04/18/2020"
"yes","3964","4","04/18/2020"
"hoy","3943","4","04/18/2020"
"of","3940","4","04/18/2020"
"something","3915","4","04/18/2020"
"high","3911","4","04/18/2020"
"person","3906","4","04/18/2020"
"save","3883","4","04/18/2020"
"healthcare","3879","4","04/18/2020"
"lost","3865","4","04/18/2020"
"rt","3862","4","04/18/2020"
"trying","3858","4","04/18/2020"
"hospitals","3856","4","04/18/2020"
"reports","3854","4","04/18/2020"
"14","3847","4","04/18/2020"
"human","3841","4","04/18/2020"
"start","3818","4","04/18/2020"
"no","3816","4","04/18/2020"
"south","3802","4","04/18/2020"
"eu","3800","4","04/18/2020"
"control","3798","4","04/18/2020"
"ahora","3794","4","04/18/2020"
"using","3785","4","04/18/2020"
"someone","3781","4","04/18/2020"
"relief","3773","4","04/18/2020"
"de","3757","4","04/18/2020"
"muertos","3725","4","04/18/2020"
"information","3722","4","04/18/2020"
"mask","3722","4","04/18/2020"
"population","3718","4","04/18/2020"
"cause","3715","4","04/18/2020"
"full","3704","4","04/18/2020"
"04","3702","4","04/18/2020"
"sa","3702","4","04/18/2020"
"bien","3700","4","04/18/2020"
"cnn","3694","4","04/18/2020"
"thought","3691","4","04/18/2020"
"it","3669","4","04/18/2020"
"house","3652","4","04/18/2020"
"community","3652","4","04/18/2020"
"police","3645","4","04/18/2020"
"protect","3642","4","04/18/2020"
"experts","3628","4","04/18/2020"
"sick","3627","4","04/18/2020"
"bbc","3619","4","04/18/2020"
"making","3579","4","04/18/2020"
"ever","3578","4","04/18/2020"
"city","3577","4","04/18/2020"
"taking","3574","4","04/18/2020"
"special","3567","4","04/18/2020"
"así","3560","4","04/18/2020"
"national","3558","4","04/18/2020"
"tell","3556","4","04/18/2020"
"situation","3551","4","04/18/2020"
"study","3539","4","04/18/2020"
"this","3539","4","04/18/2020"
"donald","3537","4","04/18/2020"
"small","3535","4","04/18/2020"
"van","3506","4","04/18/2020"
"place","3502","4","04/18/2020"
"important","3489","4","04/18/2020"
"soon","3479","4","04/18/2020"
"bill","3475","4","04/18/2020"
"कर","3469","4","04/18/2020"
"county","3461","4","04/18/2020"
"might","3449","4","04/18/2020"
"fake","3441","4","04/18/2020"
"mas","3440","4","04/18/2020"
"africa","3417","4","04/18/2020"
"always","3392","4","04/18/2020"
"11","3391","4","04/18/2020"
"saying","3379","4","04/18/2020"
"oh","3377","4","04/18/2020"
"symptoms","3368","4","04/18/2020"
"least","3365","4","04/18/2020"
"pay","3363","4","04/18/2020"
"immunity","3361","4","04/18/2020"
"dos","3361","4","04/18/2020"
"yang","3360","4","04/18/2020"
"tv","3359","4","04/18/2020"
"hit","3352","4","04/18/2020"
"fact","3350","4","04/18/2020"
"kill","3336","4","04/18/2020"
"point","3319","4","04/18/2020"
"local","3307","4","04/18/2020"
